연도,분기,분기별_연도,지역,전입자수,전출자수
2016,8,201608,대전광역시,19408.0,20086.0
2016,8,201608,부산광역시,38613.0,40144.0
2016,8,201608,서울특별시,132319.0,146990.0
2016,8,201608,세종특별자치시,5323.0,3144.0
2016,8,201608,울산광역시,11559.0,12152.0
2016,8,201608,인천광역시,41232.0,40566.0
2016,8,201608,전국,641882.0,641882.0
2016,8,201608,전라남도,19007.0,19636.0
2016,8,201608,전북특별자치도,19681.0,20063.0
2016,8,201608,제주특별자치도,8382.0,7255.0
2016,8,201608,충청남도,22955.0,21718.0
2016,8,201608,충청북도,16696.0,16554.0
2016,9,201609,강원특별자치도,15714.0,15114.0
2016,9,201609,경기도,152589.0,141531.0
2016,9,201609,경상남도,27454.0,27623.0
2016,9,201609,경상북도,21155.0,21067.0
2016,9,201609,광주광역시,15792.0,16256.0
2016,9,201609,대구광역시,23401.0,23797.0
2016,9,201609,대전광역시,15466.0,15982.0
2016,9,201609,부산광역시,32336.0,34284.0
2016,9,201609,서울특별시,117840.0,128750.0
2016,9,201609,세종특별자치시,3965.0,2539.0
2016,9,201609,울산광역시,9995.0,10643.0
2016,9,201609,인천광역시,35784.0,35177.0
2016,9,201609,전국,545720.0,545720.0
2016,9,201609,전라남도,15793.0,16490.0
2016,9,201609,전북특별자치도,16884.0,17360.0
2016,9,201609,제주특별자치도,6775.0,5926.0
2016,9,201609,충청남도,20524.0,19233.0
2016,9,201609,충청북도,14253.0,13948.0
2016,0,201610,강원특별자치도,18666.0,18091.0
2016,0,201610,경기도,170234.0,157398.0
2016,0,201610,경상남도,31838.0,31236.0
2016,0,201610,경상북도,24104.0,24642.0
2016,0,201610,광주광역시,17360.0,18230.0
2016,0,201610,대구광역시,26049.0,26702.0
2016,0,201610,대전광역시,18049.0,18978.0
2016,0,201610,부산광역시,38232.0,40719.0
2016,0,201610,서울특별시,133610.0,146868.0
2016,0,201610,세종특별자치시,5209.0,3032.0
2016,0,201610,울산광역시,11208.0,11576.0
2016,0,201610,인천광역시,39839.0,39451.0
2016,0,201610,전국,616356.0,616356.0
2016,0,201610,전라남도,16900.0,16814.0
2016,0,201610,전북특별자치도,18586.0,19158.0
2016,0,201610,제주특별자치도,7344.0,6413.0
2016,0,201610,충청남도,22619.0,21113.0
2016,0,201610,충청북도,16509.0,15935.0
2016,1,201611,강원특별자치도,18753.0,18458.0
2016,1,201611,경기도,181152.0,169278.0
2016,1,201611,경상남도,33251.0,32673.0
2016,1,201611,경상북도,25265.0,25372.0
2016,1,201611,광주광역시,17896.0,18771.0
2016,1,201611,대구광역시,29511.0,29775.0
2016,1,201611,대전광역시,19300.0,20106.0
